examNumber,questionNumber,question,reference
18,2,Which notable British sportsman is described as a British Grand Prix driver who has won the Formula 1 World Championship and is listed as a recent British winner of this championship?,
18,3,Who opened the first curry house in London?,
18,4,"Damon Hill, Lewis Hamilton and Jenson Button are known for which sports",
18,5,What is the limit for small claims court in Northern Ireland and Scotland?,
18,6,What was Sir Edward Elgar primarily famous for?,
18,7,Where in the UK government sitting?,
18,8,"During 18 Century, what important role appeared in the parliament?",
18,9,Which tribe came to Britain from northern Europe after the Romans left in AD410?,
18,10,"Which individual, through marriage to Henry Tudor, played a crucial role in uniting the Houses of York and Lancaster after the Wars of the Roses?",
18,11,What kind of games are traditionally played at pubs in the UK?,
18,12,Which battle did William I defeated king of Harold?,
18,13,What is the Turing Award?,
18,14,What is the biggest source of employment in the Britain before the 18th century?,
18,15,What is the primary purpose of the North Atlantic Treaty Organization (NATO)?,
18,16,What is the name used to for the bombing campaign during WWII when Germany bombed multiple UK cities?,
18,17,The judge of magistrate court in Northern Ireland is legally qualified,"In Northern Ireland, cases are heard by a District Judge or Deputy District Judge, who is legally qualified and paid. "
18,18,Which of the following areas can the Welsh government legislate on without requiring the agreement of the UK Parliament?,
18,19,"Arranged marriages, where both parties agree to the marriage, are acceptable in the UK ?",
18,20,Is Scotland Parliament located in Glasgow?,
18,21,Do I need a TV license if I only watch TV on a computer?,
18,22,"What dish is made by bacon, eggs, sausages, black pudding?",
18,23,What are the British scientists Sir Ian Wilmer and Keith Campbell famous for?,
18,24,What is the correct order of the Patron Saints' Days?,
18,25,Which British TV programme is popular in the UK?,
18,26,Under whose reign when 13 North American Colonies claim independence?,
18,27,"is the Scottish Parliament (MSPs), elected by a form of proportional representation?",
,,,
,,,
,,,
,,,
,,,
,,,
